GHC-1004,g-HT,00:1a:1e:58:5e:81
GHC-1004,a-HT,00:1a:1e:58:5e:91
GHC-1007,g-HT,00:1a:1e:58:5e:01
GHC-1007,a-HT,00:1a:1e:58:5e:11
GHC-1010,g-HT,00:1a:1e:58:5d:21
GHC-1010,a-HT,00:1a:1e:58:5d:31
GHC-1101,g-HT,00:1a:1e:58:5e:61
GHC-1101,a-HT,00:1a:1e:58:5e:71
GHC-1102,g-HT,00:1a:1e:58:5c:c1
GHC-1102,a-HT,00:1a:1e:58:5c:d1
GHC-1106,g-HT,00:1a:1e:58:5b:81
GHC-1106,a-HT,00:1a:1e:58:5b:91
GHC-2001,g-HT,00:1a:1e:19:34:21
GHC-2001,a-HT,00:1a:1e:19:34:31
GHC-2102,g-HT,00:1a:1e:19:52:21
GHC-2102,a-HT,00:1a:1e:19:52:31
GHC-2105,g-HT,00:1a:1e:19:1d:c1
GHC-2105,a-HT,00:1a:1e:19:1d:d1
GHC-2107,g-HT,00:1a:1e:19:20:41
GHC-2107,a-HT,00:1a:1e:19:20:51
GHC-2109,g-HT,00:1a:1e:19:20:21
GHC-2109,a-HT,00:1a:1e:19:20:31
GHC-2111,g-HT,00:1a:1e:19:32:01
GHC-2111,a-HT,00:1a:1e:19:32:11
GHC-BEF,g-HT,00:1a:1e:19:20:01
GHC-BEF,a-HT,00:1a:1e:19:20:11
GHC-MECH,g-HT,00:1a:1e:16:70:41
GHC-MECH,a-HT,00:1a:1e:16:70:51
GHC-SKYWALK,g-HT,00:1a:1e:16:71:21
GHC-SKYWALK,a-HT,00:1a:1e:16:71:31
